date_id,date,month,month_name,year,quarter,day_of_month,day_of_year,day_of_week_number,day_of_week_name,week_of_year,week_of_month
0,2000-01-01,1,January,2000,1,1,1,6,Saturday,52,1
1,2000-01-02,1,January,2000,1,2,2,7,Sunday,52,1
2,2000-01-03,1,January,2000,1,3,3,1,Monday,1,1
3,2000-01-04,1,January,2000,1,4,4,2,Tuesday,1,1
4,2000-01-05,1,January,2000,1,5,5,3,Wednesday,1,1
5,2000-01-06,1,January,2000,1,6,6,4,Thursday,1,1
6,2000-01-07,1,January,2000,1,7,7,5,Friday,1,1
7,2000-01-08,1,January,2000,1,8,8,6,Saturday,1,2
8,2000-01-09,1,January,2000,1,9,9,7,Sunday,1,2
9,2000-01-10,1,January,2000,1,10,10,1,Monday,2,2
10,2000-01-11,1,January,2000,1,11,11,2,Tuesday,2,2
11,2000-01-12,1,January,2000,1,12,12,3,Wednesday,2,2
12,2000-01-13,1,January,2000,1,13,13,4,Thursday,2,2
13,2000-01-14,1,January,2000,1,14,14,5,Friday,2,2
14,2000-01-15,1,January,2000,1,15,15,6,Saturday,2,3
15,2000-01-16,1,January,2000,1,16,16,7,Sunday,2,3
16,2000-01-17,1,January,2000,1,17,17,1,Monday,3,3
17,2000-01-18,1,January,2000,1,18,18,2,Tuesday,3,3
18,2000-01-19,1,January,2000,1,19,19,3,Wednesday,3,3
19,2000-01-20,1,January,2000,1,20,20,4,Thursday,3,3
20,2000-01-21,1,January,2000,1,21,21,5,Friday,3,3
21,2000-01-22,1,January,2000,1,22,22,6,Saturday,3,4
22,2000-01-23,1,January,2000,1,23,23,7,Sunday,3,4
23,2000-01-24,1,January,2000,1,24,24,1,Monday,4,4
24,2000-01-25,1,January,2000,1,25,25,2,Tuesday,4,4
25,2000-01-26,1,January,2000,1,26,26,3,Wednesday,4,4
26,2000-01-27,1,January,2000,1,27,27,4,Thursday,4,4
27,2000-01-28,1,January,2000,1,28,28,5,Friday,4,4
28,2000-01-29,1,January,2000,1,29,29,6,Saturday,4,5
29,2000-01-30,1,January,2000,1,30,30,7,Sunday,4,5
30,2000-01-31,1,January,2000,1,31,31,1,Monday,5,5
31,2000-02-01,2,February,2000,1,1,32,2,Tuesday,5,1
32,2000-02-02,2,February,2000,1,2,33,3,Wednesday,5,1
33,2000-02-03,2,February,2000,1,3,34,4,Thursday,5,1
34,2000-02-04,2,February,2000,1,4,35,5,Friday,5,1
35,2000-02-05,2,February,2000,1,5,36,6,Saturday,5,1
36,2000-02-06,2,February,2000,1,6,37,7,Sunday,5,1
37,2000-02-07,2,February,2000,1,7,38,1,Monday,6,1
38,2000-02-08,2,February,2000,1,8,39,2,Tuesday,6,2
39,2000-02-09,2,February,2000,1,9,40,3,Wednesday,6,2
40,2000-02-10,2,February,2000,1,10,41,4,Thursday,6,2
41,2000-02-11,2,February,2000,1,11,42,5,Friday,6,2
42,2000-02-12,2,February,2000,1,12,43,6,Saturday,6,2
43,2000-02-13,2,February,2000,1,13,44,7,Sunday,6,2
44,2000-02-14,2,February,2000,1,14,45,1,Monday,7,2
45,2000-02-15,2,February,2000,1,15,46,2,Tuesday,7,3
46,2000-02-16,2,February,2000,1,16,47,3,Wednesday,7,3
47,2000-02-17,2,February,2000,1,17,48,4,Thursday,7,3
48,2000-02-18,2,February,2000,1,18,49,5,Friday,7,3
49,2000-02-19,2,February,2000,1,19,50,6,Saturday,7,3
50,2000-02-20,2,February,2000,1,20,51,7,Sunday,7,3
51,2000-02-21,2,February,2000,1,21,52,1,Monday,8,3
52,2000-02-22,2,February,2000,1,22,53,2,Tuesday,8,4
53,2000-02-23,2,February,2000,1,23,54,3,Wednesday,8,4
54,2000-02-24,2,February,2000,1,24,55,4,Thursday,8,4
55,2000-02-25,2,February,2000,1,25,56,5,Friday,8,4
56,2000-02-26,2,February,2000,1,26,57,6,Saturday,8,4
57,2000-02-27,2,February,2000,1,27,58,7,Sunday,8,4
58,2000-02-28,2,February,2000,1,28,59,1,Monday,9,4
59,2000-02-29,2,February,2000,1,29,60,2,Tuesday,9,5
60,2000-03-01,3,March,2000,1,1,61,3,Wednesday,9,1
61,2000-03-02,3,March,2000,1,2,62,4,Thursday,9,1
62,2000-03-03,3,March,2000,1,3,63,5,Friday,9,1
63,2000-03-04,3,March,2000,1,4,64,6,Saturday,9,1
64,2000-03-05,3,March,2000,1,5,65,7,Sunday,9,1
65,2000-03-06,3,March,2000,1,6,66,1,Monday,10,1
66,2000-03-07,3,March,2000,1,7,67,2,Tuesday,10,1
67,2000-03-08,3,March,2000,1,8,68,3,Wednesday,10,2
68,2000-03-09,3,March,2000,1,9,69,4,Thursday,10,2
69,2000-03-10,3,March,2000,1,10,70,5,Friday,10,2
70,2000-03-11,3,March,2000,1,11,71,6,Saturday,10,2
71,2000-03-12,3,March,2000,1,12,72,7,Sunday,10,2
72,2000-03-13,3,March,2000,1,13,73,1,Monday,11,2
73,2000-03-14,3,March,2000,1,14,74,2,Tuesday,11,2
74,2000-03-15,3,March,2000,1,15,75,3,Wednesday,11,3
75,2000-03-16,3,March,2000,1,16,76,4,Thursday,11,3
76,2000-03-17,3,March,2000,1,17,77,5,Friday,11,3
77,2000-03-18,3,March,2000,1,18,78,6,Saturday,11,3
78,2000-03-19,3,March,2000,1,19,79,7,Sunday,11,3
79,2000-03-20,3,March,2000,1,20,80,1,Monday,12,3
80,2000-03-21,3,March,2000,1,21,81,2,Tuesday,12,3
81,2000-03-22,3,March,2000,1,22,82,3,Wednesday,12,4
82,2000-03-23,3,March,2000,1,23,83,4,Thursday,12,4
83,2000-03-24,3,March,2000,1,24,84,5,Friday,12,4
84,2000-03-25,3,March,2000,1,25,85,6,Saturday,12,4
85,2000-03-26,3,March,2000,1,26,86,7,Sunday,12,4
86,2000-03-27,3,March,2000,1,27,87,1,Monday,13,4
87,2000-03-28,3,March,2000,1,28,88,2,Tuesday,13,4
88,2000-03-29,3,March,2000,1,29,89,3,Wednesday,13,5
89,2000-03-30,3,March,2000,1,30,90,4,Thursday,13,5
90,2000-03-31,3,March,2000,1,31,91,5,Friday,13,5
91,2000-04-01,4,April,2000,2,1,92,6,Saturday,13,1
92,2000-04-02,4,April,2000,2,2,93,7,Sunday,13,1
