property_id,property_type,country,city,street,building_number,square_footage,number_of_bedrooms,number_of_bathrooms,year_built
0,Loft,Mongolia,East Samuel,Christopher Trace,293,13092,6,5,2022
1,Duplex,Uruguay,South Jasmin,Hall Camp,05545,10223,4,10,2017
2,Duplex,Bangladesh,North Adrian,Davis Crossing,5238,10470,3,5,2016
3,Condo,Taiwan,Jeffreychester,Perry Hills,98187,18383,5,10,2009
4,Villa,Saint Helena,East Kenneth,Brian Common,50765,445,4,1,2018
5,House,Namibia,Sototon,Ian Corner,5547,18232,2,7,2003
6,House,Chad,Carsonmouth,Parker Common,992,14038,9,6,2015
7,Penthouse,Jamaica,Griffinborough,Eric Fork,7737,14527,10,8,2002
8,Apartment,Equatorial Guinea,New Ericfort,Wallace Isle,6420,10848,2,5,2019
9,Townhouse,Kazakhstan,Obrienland,Christopher Wells,51727,16078,8,5,2013
10,Apartment,Nicaragua,Scottfort,Timothy Parks,9632,6704,2,4,2016
11,House,Grenada,New Amandahaven,William Square,425,5255,8,4,2020
12,Studio,Yemen,Rebeccaville,Olsen Corner,519,17999,10,1,2022
13,Duplex,Macao,North Elizabeth,David Cliff,1526,8878,5,6,2022
14,House,Vanuatu,Hoffmanfort,Petty Corners,72491,8161,2,5,2004
15,Studio,Vanuatu,New Shannonland,Smith Highway,3546,2045,2,4,2000
16,Condo,Georgia,New Melissa,Hayes Loaf,1906,1434,1,2,2011
17,Villa,French Guiana,Mercerfort,Christopher Plains,6396,13024,2,6,2003
18,Penthouse,Comoros,Lake Theresastad,Mahoney Neck,4102,12257,7,9,2014
19,Cottage,Tajikistan,West Lisa,Hamilton Curve,87845,18142,8,7,2006
20,Villa,Niger,West Melissa,Rollins Isle,80625,639,6,4,2019
21,Duplex,Japan,West Bryanshire,Robertson Wall,821,830,1,9,2020
22,House,Montserrat,Jordanstad,Martin Spurs,88296,15753,1,9,2013
23,Cottage,Tunisia,West Bonnieton,Patrick Greens,997,8879,2,4,2012
24,Penthouse,Isle of Man,Aprilside,Daniel Ridge,2405,12614,7,10,2014
25,Penthouse,Botswana,Lake Kenneth,David Summit,6809,11331,8,1,2002
26,Duplex,Turkmenistan,East Meghanstad,Reed Ridges,8957,2992,4,3,2015
27,Cottage,Spain,New Melissa,Latoya Groves,829,19996,7,3,2014
28,Townhouse,South Africa,Jeffreyton,Kennedy Port,8391,744,7,4,2012
29,Loft,San Marino,Lake Paula,Peter Lodge,14458,6215,5,1,2010
30,Villa,Switzerland,Lake Lanceville,Collin Mission,01768,7183,10,9,2019
31,Cottage,Malawi,Brittanyton,Mary Trail,8357,19515,1,8,2005
32,Penthouse,Bulgaria,Burnettchester,Scott Corner,844,14138,3,6,2018
33,Cottage,Holy See (Vatican City State),Jenkinsfort,Benjamin Mills,447,4321,10,5,2007
34,Penthouse,British Indian Ocean Territory (Chagos Archipelago),North Jenniferside,Ronald Spring,96058,619,4,2,2013
35,Condo,Libyan Arab Jamahiriya,Leonardmouth,Le Mill,50360,16502,4,1,2013
36,Villa,Turkmenistan,West Michael,Patton Trail,3240,701,2,3,2003
37,Duplex,New Zealand,South Danielburgh,Reynolds Forge,756,3988,6,5,2022
