transaction_id,transaction_amount,transaction_date,payment_method
0,1810400.92,2000-12-10 16:01:07,Cash
1,419832.74,2010-04-06 18:11:53,Cash
2,600757.83,2018-05-03 06:33:11,Mobile Payment
3,1576236.27,2009-10-16 04:30:05,Credit Card
4,191146.66,2020-06-11 01:24:48,Credit Card
5,463903.45,2001-06-07 07:53:02,Check
6,1729992.39,2021-12-18 15:43:07,Debit Card
7,225740.7,2002-07-03 13:15:00,Credit Card
8,1619606.53,2004-08-06 10:37:56,Credit Card
9,1349704.43,2015-07-04 06:09:30,Cash
10,326992.12,2006-11-20 19:24:16,Online Transfer
11,430626.36,2010-09-25 08:08:38,Mobile Payment
12,836082.75,2022-11-08 15:16:16,Credit Card
13,1939431.71,2013-07-28 10:19:44,Check
14,1502238.87,2009-01-05 10:32:38,Check
15,1282577.57,2013-11-14 07:56:56,Cash
16,1275548.56,2008-01-23 17:03:27,Credit Card
17,1403575.88,2001-11-19 23:35:13,Mobile Payment
18,306690.91,2006-03-15 01:31:59,Cash
19,722611.92,2003-09-23 11:16:20,Online Transfer
20,1674847.91,2022-03-06 01:54:40,Mobile Payment
21,1469505.63,2000-03-25 06:18:07,Check
22,1178229.5,2023-04-20 08:38:01,Debit Card
23,177223.75,2012-09-19 09:37:54,Cash
24,1965291.51,2001-04-21 05:13:54,Online Transfer
25,603647.98,2001-03-30 08:31:58,Credit Card
26,1116498.38,2007-05-05 13:08:13,Mobile Payment
27,1594608.32,2000-11-24 07:16:00,Cash
28,1235102.12,2006-07-18 05:57:19,Debit Card
29,953925.73,2017-07-21 12:41:12,Online Transfer
30,921004.77,2006-09-09 18:34:37,Debit Card
31,770588.43,2016-09-20 10:30:27,Online Transfer
32,1643341.57,2001-02-13 17:36:46,Check
33,459958.65,2022-02-11 06:39:44,Credit Card
34,1554065.55,2014-03-27 18:38:56,Check
35,428953.57,2005-11-15 00:48:36,Debit Card
36,1933955.75,2001-02-19 00:08:15,Cash
37,1660392.47,2012-05-02 10:00:39,Online Transfer
38,1769179.36,2002-06-05 00:03:16,Cash
39,1088710.77,2013-11-26 20:27:16,Mobile Payment
40,953708.21,2015-10-26 09:31:00,Cash
41,651632.8,2002-02-28 01:23:51,Debit Card
42,1983839.55,2022-11-30 18:17:24,Credit Card
43,338068.2,2007-07-26 14:40:30,Mobile Payment
44,417406.34,2020-09-05 13:25:09,Online Transfer
45,1924858.44,2020-10-03 09:20:24,Cash
46,820793.24,2001-09-10 21:06:00,Mobile Payment
47,255369.85,2008-12-21 06:04:18,Debit Card
